Machine ID,Timestamp,Temperature,Vibration,Pressure,Humidity,Voltage,Current,RPM,Operating Hours,Maintenance History,Error Code,Failure,Hour,DayOfWeek,ElapsedDays
M003,2024-01-01 00:00:00,69.7433748566425,0.36477775205347907,93.98699698682879,,220.58575162455818,59.18579762084026,1489.8289532922415,1108.1769408599848,None,E00,0,0,0,0
M020,2024-01-01 01:00:00,,0.43731984357765763,,57.32384219306345,214.46103344111637,44.70962954061274,1626.5071512761047,814.3335053244618,None,E00,1,1,0,0
M017,2024-01-01 02:00:00,76.61379522944247,0.42935216506041984,101.80754155271242,45.28800735558576,226.41908123944404,50.42207629810737,1660.87189747524,1188.082497866621,Critical,E02,1,2,0,0
M011,2024-01-01 03:00:00,,0.35054168340951336,89.82642756560246,45.707937487838514,217.83835583669983,41.59311918131678,,1146.5126609467463,None,E00,1,3,0,0
M011,2024-01-01 04:00:00,68.78947707973973,0.18642810365498277,93.01794033242427,40.66805913881668,207.7961588325884,41.97656436170786,1435.529307698693,1174.8870177462188,None,,0,4,0,0
M022,2024-01-01 05:00:00,69.5810239384197,0.2725959393349285,93.50814010415984,38.9706995765054,218.43929422190936,39.11387980089996,1495.7473970426859,1040.7899474365843,Minor,E01,0,5,0,0
M003,2024-01-01 06:00:00,75.24678502930824,,98.55402553508085,33.96512364141237,221.5319183549457,,1541.4924222690386,780.2415359801341,,E00,0,6,0,0
M018,2024-01-01 07:00:00,67.03449455559203,0.24148240058002987,115.8775636583286,26.320206549132585,213.4519544187785,50.664804489243885,1443.6300316242296,1213.9558047125154,Minor,E01,1,7,0,0
M006,2024-01-01 08:00:00,69.5367960719099,0.3271315187989135,92.53450347501241,36.57063991072156,219.05455755912212,47.58012656606458,1439.6272706448524,1059.6541134444685,None,E03,1,8,0,0
M003,2024-01-01 09:00:00,72.53755660421061,0.37369364295823226,92.18433733491369,55.84863440808616,219.42813730680717,47.84102967674734,1432.4023981001133,1095.225859079357,Minor,,1,9,0,0
M014,2024-01-01 10:00:00,77.97563210893355,0.4528699487033057,90.93487763884924,39.90699668763388,219.55273684579345,47.60669505446507,1805.227272125622,1237.5844589366145,Minor,E00,0,10,0,0
M025,2024-01-01 11:00:00,68.37240830292275,0.30974862124819097,105.08435656993785,40.847775795671495,229.87713495772363,64.18194100046995,1467.4691136983683,1172.2566370263253,,E00,1,11,0,0
M019,2024-01-01 12:00:00,60.945693227815966,0.30495586036418093,99.66926722915919,40.61417760342423,209.50753711052232,40.90255880962297,1628.241073055415,1228.8879811069626,Minor,E03,0,12,0,0
M020,2024-01-01 13:00:00,60.500415194890735,0.34632879634531494,,59.93649198999281,236.27041967348453,40.04725344214077,1395.6717261859633,1041.1265479629596,Critical,E01,1,13,0,0
M018,2024-01-01 14:00:00,64.4435215997632,0.3745639078867071,97.09763532977334,33.85940915362395,219.73731743847034,43.23661925941252,1704.2130044939452,,None,E01,1,14,0,0
M020,2024-01-01 15:00:00,64.12099369080038,0.33920272208227337,93.66791759233838,48.324640060679926,224.6416898716197,49.42484132284008,1454.5719041525556,912.8803268939276,Critical,E00,0,15,0,0
M013,2024-01-01 16:00:00,71.07233544828054,0.42344878442200673,102.36713024951396,44.178406397158035,221.02269013230284,,1506.3572288642906,764.8233704102697,Critical,E03,1,16,0,0
M004,2024-01-01 17:00:00,,0.2940599316880069,121.47501285437069,,206.19181142587848,54.94870091108375,1280.0732674016883,844.0083752103316,None,E00,0,17,0,0
M021,2024-01-01 18:00:00,67.78347024107278,0.358411265336533,104.40691524553789,,211.547378760113,57.55710653095831,1633.9921175655793,929.3241984163927,Minor,E04,1,18,0,0
M012,2024-01-01 19:00:00,67.3554846901077,0.3811648897172913,99.2560918791411,45.68597928321684,215.8057929628977,49.134089071662466,1659.9863793521722,,Major,E00,0,19,0,0
M013,2024-01-01 20:00:00,69.35695283491204,0.32198370330659,94.68019610009638,54.51626263981103,227.94975854493572,46.82943104074557,,522.9173105404406,,E00,0,20,0,0
M010,2024-01-01 21:00:00,79.93502598913874,0.40877969555919763,,44.64891206444485,208.92543091400228,63.06768555961843,1640.9765066494822,1401.384362294422,Major,E00,0,21,0,0
M005,2024-01-01 22:00:00,75.9716855365831,0.3604270978869644,105.86951785122429,65.93251672110837,,27.726332984427817,1339.5254868675256,,None,E00,0,22,0,0
M024,2024-01-01 23:00:00,72.09677649165603,0.40521919992065913,105.43483342693057,,221.31880672222604,50.50207217955318,1575.848061540867,1423.081633116022,Critical,E04,1,23,0,0
M020,2024-01-02 00:00:00,69.23384231651497,0.36358728756341824,96.27119202647356,24.558397408796765,223.7828515822635,53.44005555595154,,1006.7612405265403,None,E00,1,0,1,1
M017,2024-01-02 01:00:00,69.40060406026187,0.37634832000410595,109.70667186354095,52.65972429772478,223.541767014652,64.98947201901532,1660.3504651657775,513.4255618379143,Minor,E02,1,1,1,1
M011,2024-01-02 02:00:00,73.9664788197117,,100.16885551108068,49.70516166311738,212.12795909021028,36.715470625158034,1529.9029761298148,1276.7775814137842,Major,,0,2,1,1
M021,2024-01-02 03:00:00,75.50501444011374,0.30584598063661433,106.19808588316108,45.39054038114309,207.21606911846928,46.638898892565145,1611.7761886091357,557.0772721849142,None,E00,1,3,1,1
M014,2024-01-02 04:00:00,66.5542949633964,,102.36957601626409,41.885144212546265,224.31247714570426,39.139118391106194,1648.5308003393257,1165.3362621706815,Minor,E01,0,4,1,1
M012,2024-01-02 05:00:00,72.21888453368538,0.39448573111642327,98.58291296097889,20.0,231.46499153231784,35.61378905938983,1465.0762179193491,880.1681692128496,Minor,E02,1,5,1,1
M012,2024-01-02 06:00:00,59.810282588021835,0.27839243836443184,92.36092310954011,21.637871252811898,217.23758707699452,48.36379445898861,1496.5316082186807,287.7621344940639,Critical,E01,1,6,1,1
M006,2024-01-02 07:00:00,73.27028270502358,,98.83570726109863,64.77023064596978,210.84250812412773,56.66475006089926,1366.6581898577242,1792.2136413411706,Minor,,1,7,1,1
M003,2024-01-02 08:00:00,76.57289545175212,0.18383567625252015,106.73640535115878,37.97396876280736,216.56095742028126,59.647756706648806,,697.678440905925,Minor,E02,1,8,1,1
M014,2024-01-02 09:00:00,70.31958823871474,0.3098241885410408,95.93491910480458,56.5874451306265,223.15250058707784,45.74501753908608,1731.2487548345823,1057.6835820476585,None,E01,0,9,1,1
M023,2024-01-02 10:00:00,,0.4172719373633934,103.51793116482543,25.763600721114457,218.13485474578692,55.33220992425271,,1148.4117515085902,None,E04,1,10,1,1
M002,2024-01-02 11:00:00,66.7125693153837,0.3412398087902188,91.33811294380797,32.43770045558081,231.2575491321185,48.41825041334419,1374.6480551630355,1011.8197324050909,None,,1,11,1,1
M022,2024-01-02 12:00:00,73.30464249181956,0.3582538868766222,,53.14369136258059,227.3997657552343,54.45259023298014,,1385.8320702320277,Minor,E00,0,12,1,1
M021,2024-01-02 13:00:00,71.78505152000427,,102.50353069191969,43.769987571616404,221.474704529634,59.235801981273795,1546.680381416711,903.6118419321976,Minor,E00,1,13,1,1
M007,2024-01-02 14:00:00,71.39821399533955,0.32254224673046933,90.383113929308,51.452006063872545,204.36541680296511,48.44615648520598,1599.6509377090997,1352.7632969686274,None,E02,1,14,1,1
M016,2024-01-02 15:00:00,71.31406699197152,0.3736790556679049,98.2078838118271,44.836409208842305,214.46189096927102,58.61579505940006,1558.863457827531,1327.401971839639,None,E04,1,15,1,1
M005,2024-01-02 16:00:00,72.64263018005683,0.3825702912778838,107.45152727454696,42.5079364319207,215.61582138923467,40.295781697165225,1550.371011689784,648.8993197860921,None,E00,0,16,1,1
M019,2024-01-02 17:00:00,77.0877524607822,0.41736489979340546,89.9277396747742,36.83947406190131,214.02707214681604,55.252084135752284,1260.274338902388,1294.3362113983583,Major,E00,1,17,1,1
M018,2024-01-02 18:00:00,80.26641741764847,0.33528195737586,91.43239809100052,30.671968128839993,221.5265701749194,58.26938618230787,1632.8351256993878,778.4110598763957,None,E00,0,18,1,1
M009,2024-01-02 19:00:00,71.98649853297506,,99.44402436170806,61.83241547678998,221.69153664828184,57.44167365298496,1229.4797459744436,733.7436932814636,Minor,E00,0,19,1,1
M002,2024-01-02 20:00:00,76.8918964330298,0.2567517799413096,117.06664584345755,63.80770927355857,206.60740105475824,40.519829501404026,1621.9185864822039,1316.2250342808845,Major,E00,0,20,1,1
M025,2024-01-02 21:00:00,67.78939832239931,0.33568349225787614,94.61937532768401,32.535564543069796,226.4367844964892,48.353512004490526,,1036.6584988324178,Major,E00,1,21,1,1
M012,2024-01-02 22:00:00,76.5957327163574,0.2616897456321541,103.96219199668397,,220.12898965061066,52.41740104178411,,,Minor,E00,0,22,1,1
M023,2024-01-02 23:00:00,67.42805085703806,0.22064909161362078,102.08108326081081,,222.86113130806888,53.54441952321115,1519.0081049708092,,None,E00,0,23,1,1
M017,2024-01-03 00:00:00,78.5439596165288,0.2740374440922595,95.28384079787565,49.08522017835782,225.9586106789482,50.927007594943156,1625.2502316010698,628.7978524654918,None,E03,0,0,2,2
M020,2024-01-03 01:00:00,85.26384526435943,0.455607943546278,101.289066814279,42.81818150451997,213.86424224527866,61.43349025667878,1501.9377663235061,1496.2471558416803,None,,1,1,2,2
M019,2024-01-03 02:00:00,71.26749667217165,0.3310607158940706,96.41732270324036,50.99424078297265,230.07124551452657,,1533.7112015723567,1314.0065571680493,Major,E01,1,2,2,2
M005,2024-01-03 03:00:00,58.84473905515555,0.36539141541163556,97.1375616790679,44.40901262866361,,48.077993328134646,1548.571211660755,965.3448915546013,None,E00,1,3,2,2
M010,2024-01-03 04:00:00,68.71156240053107,0.31405526241613607,86.70982477781493,43.6244263026092,232.10037781253547,36.497823199688824,1725.4370735085804,,None,E01,1,4,2,2
M012,2024-01-03 05:00:00,79.39125080573582,0.22466142863836713,99.80451012106943,73.95694484123842,212.8485405177506,54.96999048163116,1572.0330092004278,1507.6570677528603,None,E03,1,5,2,2
M013,2024-01-03 06:00:00,,0.4155279187450795,107.1927480529804,38.697560980856316,231.5059728554471,54.43695557952228,1341.9776588570753,1072.1555740250844,Minor,E00,1,6,2,2
M002,2024-01-03 07:00:00,73.49348159205017,0.19794613021010876,100.45940619823749,64.67936271389456,212.76812780505955,76.78882692573006,,2046.103791512595,None,E02,0,7,2,2
M014,2024-01-03 08:00:00,,0.3111645126245839,108.72406208657944,62.36235681217037,240.3902502928447,58.21087726708666,1571.7604813971693,1796.2771985883494,None,E00,1,8,2,2
M004,2024-01-03 09:00:00,74.90672063549053,0.3461769583404957,104.64261956756013,51.04912207901579,212.38532989292722,52.65092112922684,1651.16951323209,,None,E00,1,9,2,2
M019,2024-01-03 10:00:00,79.30635112470682,0.36613427504008983,99.52366954935825,,228.45269376364314,52.03916060539069,1413.3388684449335,1108.80500383196,Minor,E00,1,10,2,2
M018,2024-01-03 11:00:00,77.51654205988191,0.2991471276829791,,45.372689884355545,217.10084621046,47.46711271498843,1768.7853139596048,1126.1306082599087,None,E00,1,11,2,2
M024,2024-01-03 12:00:00,81.13020271642175,0.22134269618615177,96.10989027710876,38.823662911253436,225.72017906933237,,1521.0724565878024,959.7386431073095,Minor,E00,1,12,2,2
M019,2024-01-03 13:00:00,74.15277650343752,0.2939234695365193,88.23591620850303,45.241088297285685,219.67579946299466,52.20999169275104,1550.4680883091876,1250.0886789099072,Minor,E01,1,13,2,2
M010,2024-01-03 14:00:00,77.43155640896373,0.29758694086662363,97.8633688792134,,211.2701569970983,34.28192529617956,1349.5111807127832,,Minor,E00,1,14,2,2
M025,2024-01-03 15:00:00,70.15723756148529,0.29588345533914434,,,197.62535874150063,51.575308724055986,1633.8571898163539,660.2087586601501,None,E02,0,15,2,2
M011,2024-01-03 16:00:00,68.39123513064597,0.4179041013145322,113.72336878239386,56.81982032533279,240.06066636954316,50.80807654699793,,1457.1116325958005,Minor,E00,1,16,2,2
M009,2024-01-03 17:00:00,82.24060584251384,0.26504780553026003,104.22656258623101,59.040291624803295,220.5841938049201,64.03210621380921,1410.4940602350332,1573.4204292753925,Minor,E00,0,17,2,2
M023,2024-01-03 18:00:00,73.29722805793612,0.3710685492106711,93.08116815889619,40.41385540338559,196.45175937653553,48.94662592158012,1461.9368496943987,1428.8707447806191,None,E00,1,18,2,2
M010,2024-01-03 19:00:00,76.82928339517427,0.3610807926052541,,32.28689877543872,,43.875637169363806,1665.9333013974326,1148.0220758210755,None,E01,1,19,2,2
M002,2024-01-03 20:00:00,,0.4172318554230169,98.34758330236342,49.22017699764942,225.5166932522386,52.148256656639724,1555.889126843943,1412.252210215192,Critical,E02,1,20,2,2
M012,2024-01-03 21:00:00,68.48090609448022,0.3406807689784148,106.49411557462199,66.0728918657849,214.27935373188802,50.59478457505043,1393.3097716351094,1719.7123960624367,None,E02,0,21,2,2
M020,2024-01-03 22:00:00,72.06589735549441,0.4053791677038291,98.2350693064449,45.832675615362405,214.33316369677115,48.95519501501317,1436.3545234143564,1176.7223231069233,Minor,E00,1,22,2,2
M005,2024-01-03 23:00:00,80.61596410660628,0.3379445903334131,104.33587340004476,50.4275650333452,219.84126522368013,39.76808951362713,1669.1479889978557,1209.4440738985782,None,E04,1,23,2,2
M012,2024-01-04 00:00:00,75.33144044567655,0.380407476860936,98.55099640598249,42.18091864941603,,48.75184400952523,1471.6342781745423,2053.017961266247,Minor,E00,1,0,3,3
M004,2024-01-04 01:00:00,61.73116104161725,0.24479412389269312,105.7360034777248,38.95835752925085,220.79968095858422,45.36646502212788,,1322.8975139346148,None,E04,1,1,3,3
M018,2024-01-04 02:00:00,70.70853326054308,,87.22193581835471,52.899311263253985,231.7058024347399,48.26814800870135,1596.6178842798608,797.0824115322446,Major,E00,1,2,3,3
M012,2024-01-04 03:00:00,82.69376275622827,0.37642827974960974,112.8334569611688,43.72719879193361,229.04975338024192,55.8572257855288,1089.7454807265667,1549.1884998738778,None,E00,1,3,3,3
M009,2024-01-04 04:00:00,70.71721882890026,0.38018281882274607,91.10013241421032,49.84227493835196,218.16972180589192,44.60388528603313,1651.7269137699725,1360.7767605488,None,E00,0,4,3,3
M006,2024-01-04 05:00:00,61.197127849594914,0.3832851633206318,106.34985863783822,51.09008228732433,207.43580992645462,48.23014013600366,1397.7178214949927,937.8331894215356,Major,E01,1,5,3,3
M015,2024-01-04 06:00:00,83.35829331253527,,97.82252804264836,,218.18663328962919,54.32963973553191,1456.7294220026647,758.4191223426338,None,E00,1,6,3,3
M017,2024-01-04 07:00:00,76.09435505887676,0.4542805576547261,99.0733767970648,,224.21185920316017,47.84478172702052,1684.7183174338288,,None,E00,0,7,3,3
M024,2024-01-04 08:00:00,71.5799228471232,0.3178085528984084,98.0711847522388,34.7639312068789,220.47914781103574,70.87348789759592,1673.6309635501839,1175.9596122062392,Major,,1,8,3,3
M011,2024-01-04 09:00:00,69.77149358350759,0.37946153137706584,102.04483668041195,34.03164772383802,225.07539865353036,51.99093200730444,1559.1335884249854,702.3000831091767,Critical,E00,0,9,3,3
M005,2024-01-04 10:00:00,78.4941115787504,0.3916245357502855,103.66019634624716,44.488540720712926,226.90735980919777,40.064823741793305,1587.4126737737736,1164.610496111869,None,E01,1,10,3,3
M021,2024-01-04 11:00:00,68.74809959864284,0.4703118111824377,108.46689209458455,44.77726415686503,224.2468684273271,43.28557805538855,1617.3554067332007,1139.424594779596,Minor,E03,1,11,3,3
